ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,525.260096,1149868,1000000,8
2048,761.617292,1784301,1000000,11
4096,851.680327,1930498,1000000,16
8192,851.899981,1969388,1000000,22
16384,843.469517,1118853,1000000,32
32768,782.295228,1239185,1000000,45
65536,828.103894,1216854,1000000,64
131072,922.393855,1100421,1000000,90
262144,970.294344,1072303,1000000,128
524288,880.506513,1192404,1000000,181
1048576,860.524265,1228356,1000000,256
2097152,901.741339,1177370,1000000,362
4194304,831.203071,1281720,1000000,512
8388608,876.160051,1218487,1000000,724
16777216,823.940670,1298093,1000000,1024
33554432,631.209504,1696028,1000000,1448
67108864,544.633382,1967646,1000000,2048
134217728,556.292811,1927097,1000000,2896
268435456,535.803983,1001013,1000000,4096
536870912,550.903844,1947293,1000000,5792
1073741824,461.416386,1162960,1000000,8192
2147483648,463.242813,1158493,1000000,11585
4294967296,445.311590,1205313,1000000,16384
8589934592,396.925664,1352284,1000000,23170
17179869184,444.358576,2416091,1000000,32768
34359738368,409.697732,5240962,1000000,46340
