ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,513.304531,1176650,1000000,8
2048,553.180588,1228310,1000000,11
4096,579.090740,1419611,1000000,16
8192,563.262226,1489290,1000000,22
16384,606.853446,1555101,1000000,32
32768,584.702752,1657951,1000000,45
65536,602.703414,1671936,1000000,64
131072,588.343265,1725220,1000000,90
262144,617.371948,1685288,1000000,128
524288,488.642831,1074322,1000000,181
1048576,515.844386,1024563,1000000,256
2097152,497.274572,1067502,1000000,362
4194304,436.093921,1221491,1000000,512
8388608,507.723228,1051350,1000000,724
16777216,443.067485,1206985,1000000,1024
33554432,470.182026,1138441,1000000,1448
67108864,415.790397,1288685,1000000,2048
134217728,458.850649,1168169,1000000,2896
268435456,412.076763,1301570,1000000,4096
536870912,467.126607,1148266,1000000,5792
1073741824,392.072463,1368647,1000000,8192
2147483648,462.183992,1161147,1000000,11585
4294967296,381.526210,1406823,1000000,16384
8589934592,408.927836,1312594,1000000,23170
17179869184,383.420363,2800088,1000000,32768
34359738368,346.586129,6195315,1000000,46340
