ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,620.485306,1946798,1000000,8
2048,692.600645,1962104,1000000,11
4096,801.726154,1025392,1000000,16
8192,803.922335,1043460,1000000,22
16384,814.644497,1158442,1000000,32
32768,808.613326,1198853,1000000,45
65536,835.422441,1206194,1000000,64
131072,890.215180,1140198,1000000,90
262144,904.046935,1150880,1000000,128
524288,797.860270,1315919,1000000,181
1048576,890.316583,1187252,1000000,256
2097152,786.609133,1349696,1000000,362
4194304,869.615641,1225104,1000000,512
8388608,805.591834,1325224,1000000,724
16777216,806.314822,1326469,1000000,1024
33554432,606.317987,1765656,1000000,1448
67108864,525.978632,1018716,1000000,2048
134217728,545.769645,1964254,1000000,2896
268435456,517.132687,1037155,1000000,4096
536870912,541.346226,1981673,1000000,5792
1073741824,452.436210,1186043,1000000,8192
2147483648,464.887687,1154394,1000000,11585
4294967296,428.809384,1251698,1000000,16384
8589934592,470.897036,1139859,1000000,23170
17179869184,434.297666,2472062,1000000,32768
34359738368,406.626712,5280544,1000000,46340
