ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1048576,869.171001,1216136,1000000,256
2097152,881.456248,1204465,1000000,362
3145728,878.706679,1813106,1000000,443
3145728,880.658294,1809088,1000000,443
5242880,887.236779,1499927,1000000,572
7340032,863.195150,1081007,1000000,677
9437184,849.474723,1414611,1000000,768
12582912,873.544097,1832102,1000000,886
17825792,829.123832,1369422,1000000,1055
24117248,768.631296,1999190,1000000,1227
32505856,662.651278,1564569,1000000,1425
45088768,586.517844,1226046,1000000,1678
61865984,573.448706,1721981,1000000,1966
83886080,575.977810,1162349,1000000,2289
114294784,577.448908,1580225,1000000,2672
157286400,574.449417,1093576,1000000,3135
214958080,575.184393,1492955,1000000,3665
293601280,577.765077,1015054,1000000,4283
401604608,591.265600,1357363,1000000,5010
549453824,591.046573,1857920,1000000,5860
750780416,585.717938,1281029,1000000,6850
1026555904,559.076990,1834797,1000000,8009
1404043264,574.992358,1220235,1000000,9367
1919942656,573.305710,1673750,1000000,10954
2626682880,550.947856,1191373,1000000,12812
3591372800,574.034819,1563671,1000000,14982
4911529984,570.423308,1075974,1000000,17520
6717177856,516.478356,1625304,1000000,20489
9185525760,560.678618,1023734,1000000,23960
12561940480,563.560172,1392945,1000000,28020
17179869184,528.853276,2030073,1000000,32768
