ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,440.269197,1371842,1000000,8
2048,489.817473,1387205,1000000,11
4096,492.397122,1669554,1000000,16
8192,511.530743,1639903,1000000,22
16384,522.163086,1807325,1000000,32
32768,492.674748,1967644,1000000,45
65536,513.689741,1961654,1000000,64
131072,553.090713,1835181,1000000,90
262144,572.189282,1818366,1000000,128
524288,551.740395,1902923,1000000,181
1048576,560.381443,1886269,1000000,256
2097152,550.222642,1929552,1000000,362
4194304,528.156387,1008574,1000000,512
8388608,527.778667,1011399,1000000,724
16777216,539.623244,1982034,1000000,1024
33554432,513.952656,1041486,1000000,1448
67108864,475.046787,1127937,1000000,2048
134217728,500.493574,1070973,1000000,2896
268435456,470.597669,1139714,1000000,4096
536870912,486.481809,1102581,1000000,5792
1073741824,430.394013,1246785,1000000,8192
2147483648,463.728760,1157279,1000000,11585
4294967296,404.778130,1326010,1000000,16384
8589934592,453.736509,1182969,1000000,23170
17179869184,402.192239,2669397,1000000,32768
34359738368,440.926599,4869768,1000000,46340
